X,Y,OBJECTID,TRACKING,NAME,TRACKINGNUMBER,PROJECTNAME,OVERALLSTATUSCATEGORY,APPROVALDATE,PROGRAM,SURFACE_INFILTRATION_BASIN,SUBSURFACE_INFILTRATION_BASIN,SURFACE_DETENTION_BASIN,SUBSURFACE_DETENTION_BASIN,BIOINFILTRATION,BIORETENTION,CISTERN,GREEN_ROOF,POROUS_PAVEMENT,WQ_TREATMENT_DEVICE
-74.975242385478438,40.108441282309087,1,2005-0010-01,Perry Matarazzo Holding LLC,2005-0010-01,Perry Matarazzo Holding LLC,Complete,2005-12-28T00:00:00.000Z,Regulation,0,0,1,0,0,0,0,0,0,0
-75.215748470884975,39.961767811367558,2,2005-0052-01,Philadelphia Youth Center,2005-0052-01,Philadelphia Youth Center,Verified,2009-09-28T15:01:07.000Z,Regulation,0,2,0,0,0,0,0,0,0,0
-75.023527769713297,40.077344619036431,3,2005-0060-01,Wawa,2005-0060-01,Wawa,Complete,2006-02-06T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.23926109827984,39.958059714869854,4,2005-0061-01,William Sayre High School,2005-0061-01,William Sayre High School,Complete,2006-09-25T00:00:00.000Z,Regulation,0,0,0,0,0,0,0,0,1,0
-75.227194589935564,39.898371787506321,5,2005-0064-01,7401 Essington Ave,2005-0064-01,Essington Avenue Parking Lot,Verified,2006-05-17T00:00:00.000Z,Regulation,0,0,0,4,0,0,0,0,0,0
-75.033769873437578,40.0833795981546,6,2005-0066-01,2000 Grant Ave,2005-0066-01,2000 Grant Ave.,Verified,2007-11-20T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,1,0
-75.181937741925864,39.96718578276424,7,2005-0013-01,Philadelphia Museum of Art,2005-0013-01,Philadelphia Museum of Art Garage and Sculpture Gardens,Complete,2005-12-20T00:00:00.000Z,Regulation,0,0,0,0,0,0,0,0,0,0
-75.221501605830767,39.921079744806093,8,2006-0017-01,Inglis Apartments at Elmwood,2006-0017-01,Inglis Apartments at Elmwood,Verified,2006-10-05T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,1,0
-75.041980235649731,40.042289727910529,9,2006-0048-01,Abraham Lincoln High School,2006-0048-01,Abraham Lincoln HS,Complete,2007-05-16T00:00:00.000Z,Regulation,1,1,0,0,0,0,0,0,0,0
-75.151547440866054,39.964064220591425,10,2006-0057-01,Liberties Station,2006-0057-01,Liberties Station,Verified,2008-04-03T00:00:00.000Z,Regulation,0,0,0,1,0,0,0,0,0,0
-75.152597698022063,39.983429803238089,11,2006-0063-01,Temple Parking Lot # 10,2006-0063-01,Temple U. Parking Lot #10,Verified,2006-04-26T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-74.984907475468574,40.055909224098819,12,2006-0060-01,Garden Residence Building,2006-0060-01,Garden Residence Building,Verified,2006-06-30T00:00:00.000Z,Regulation,0,1,0,1,0,0,0,0,1,0
-75.198745145468962,39.931646354897424,13,2006-0074-01,Grays Ferry,2006-0074-01,Greater Gray's Ferry Estates Town Hall,Verified,2006-07-14T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.186466903825504,40.042594258222678,14,2006-0076-01,Presser Hall,2006-0076-01,Presser Hall,Complete,2009-10-30T17:01:16.000Z,Regulation,0,3,0,2,0,0,0,0,2,0
-75.160999035031551,39.983103285712467,15,2006-0084-01,G.W. Carver High School Addition,2006-0084-01,G.W. Carver High School Addition,Verified,2006-11-09T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.233749943570643,39.890905812084696,16,2006-0085-01,Philadelphia Aloft Hotel,2006-0085-01,Philadelphia Aloft Hotel,Verified,2006-10-04T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.150480239862588,39.955762878068207,17,2006-0075-01,Franklin Square Park,2006-0075-01,Franklin Square Park,Complete,2006-04-28T00:00:00.000Z,Regulation,0,1,0,1,0,0,0,0,0,0
-75.204068396166022,39.977178943833671,18,2006-0088-01,Sweet Briar Fields at Fairmount Park,2006-0088-01,Sweet Briar Fields at Fairmount Park,Verified,2008-04-02T00:00:00.000Z,Regulation,3,0,0,0,0,0,0,0,0,0
-75.238690366872447,39.879496759976689,19,2006-0086-01,PHLRunway Extension,2006-0086-01,PHL- Runway 17-35 Extension Project,Construction,2007-05-11T00:00:00.000Z,Regulation,0,0,0,0,1,0,0,0,0,0
-75.173232863390538,40.070199370000552,20,2006-0092-01,Germantown Athletic Super Sites,2006-0092-01,Germantown Athletic Super Sites,Complete,2007-01-08T00:00:00.000Z,Regulation,0,1,0,0,0,0,0,0,0,0
-75.012821043794375,40.104817203806199,21,2006-0102-01,Camelot Estates,2006-0102-01,Camelot Estates,Verified,2007-04-13T00:00:00.000Z,Regulation,0,0,2,0,0,0,0,0,0,0
-75.242860768477556,39.890003479622337,22,2006-0100-01,Expansion of Employee Parking Lot at PIA,2006-0100-01,Expansion of Employee Parking Lot at Philadelphia International Airport,Complete,2007-08-08T00:00:00.000Z,Regulation,0,1,0,0,12,1,0,0,0,0
-75.152209771597356,40.007014920805652,23,2006-0110-01,Multi Purpose Health Service Center,2006-0110-01,Multi Purpose Health Services Center,Verified,2006-11-20T00:00:00.000Z,Regulation,0,1,0,1,0,0,0,0,0,0
